identity_l1_weight,identity_mse_weight,stability_coeff,final_score,final_stability,identity_pct,mutation_count,aa_diversity,most_common_aa,most_common_count
10,30,3.0,0.0319669283926487,-0.019308803603053093,98.72773536895674,5,20,P,45
10,30,6.0,0.061718475073575974,-0.0097552090883255,97.20101781170484,11,20,P,45
10,30,9.0,-0.032400697469711304,-0.007304811850190163,98.72773536895674,5,20,P,45
10,30,12.0,0.007156156003475189,-0.004887179471552372,98.47328244274809,6,20,P,45
10,30,15.0,-0.08477257192134857,-0.007296041119843721,94.40203562340967,22,20,P,44
25,75,3.0,0.019234847277402878,-0.01228772010654211,98.21882951653944,7,20,P,46
25,75,6.0,-0.016351368278265,-0.007593968417495489,98.21882951653944,7,20,P,44
25,75,9.0,-0.01855790615081787,-0.013588345609605312,99.23664122137404,3,20,P,45
25,75,12.0,-0.048488445580005646,-0.004535097628831863,97.96437659033079,8,20,P,45
25,75,15.0,-0.02967032417654991,-0.004318579100072384,98.47328244274809,6,20,P,45
50,150,3.0,-0.040621209889650345,-0.025083331391215324,98.47328244274809,6,20,P,44
50,150,6.0,-0.37561869621276855,-0.3823656737804413,91.34860050890585,34,20,P,50
50,150,9.0,-0.1420363187789917,-0.006287259981036186,98.21882951653944,7,20,P,45
50,150,12.0,-0.05035825073719025,-0.0063043334521353245,99.23664122137404,3,20,P,45
50,150,15.0,-0.044823020696640015,-0.005513744428753853,98.72773536895674,5,20,P,45
75,225,3.0,-0.03825110197067261,-0.019437070935964584,99.23664122137404,3,20,P,45
75,225,6.0,-0.054810184985399246,-0.011503665708005428,98.72773536895674,5,20,P,44
75,225,9.0,-0.05916336178779602,-0.008376437239348888,98.21882951653944,7,20,P,45
75,225,12.0,-0.09585019946098328,-0.006558717228472233,98.72773536895674,5,20,P,44
75,225,15.0,-0.20009180903434753,-0.008001983165740967,98.21882951653944,7,20,P,47
100,300,3.0,-0.18416453897953033,-0.02100265398621559,99.49109414758269,2,20,P,45
100,300,6.0,-0.06630773842334747,-0.011787157505750656,98.9821882951654,4,20,P,45
100,300,9.0,-0.0758032277226448,-0.009248672984540462,99.49109414758269,2,20,P,45
100,300,12.0,-0.14373859763145447,-0.006715875118970871,99.23664122137404,3,20,P,45
100,300,15.0,-0.0860278457403183,-0.005425427574664354,98.72773536895674,5,20,P,46
